"","paper_no","author","term","n","total"
"163",69,"Hamilton","to",93,2748
"164",38,"Madison","a",92,3319
"165",42,"Madison","to",92,2774
"166",3,"Jay","the",91,1439
"167",4,"Jay","and",90,1636
"168",27,"Hamilton","of",90,1418
"169",39,"Madison","to",90,2606
"170",69,"Hamilton","and",90,2748
"171",75,"Hamilton","to",90,1942
"172",25,"Hamilton","to",89,1982
"173",32,"Hamilton","of",89,1483
"174",16,"Hamilton","to",88,2037
"175",33,"Hamilton","of",88,1684
"176",41,"Madison","and",88,3540
"177",44,"Madison","and",88,2896
"178",63,"Disputed","to",87,3039
"179",64,"Jay","to",87,2306
"180",22,"Hamilton","in",86,3477
"181",47,"Madison","and",86,2739
"182",60,"Hamilton","to",86,2239
"183",68,"Hamilton","of",86,1505
"184",46,"Madison","to",85,2614
"185",4,"Jay","the",84,1636
"186",24,"Hamilton","to",84,1820
"187",37,"Madison","to",84,2709
"188",65,"Hamilton","to",84,2016
"189",70,"Hamilton","and",84,3296
"190",2,"Jay","and",83,1665
"191",11,"Hamilton","to",83,2494
"192",66,"Hamilton","to",83,2221
"193",67,"Hamilton","to",83,1637
"194",19,"Joint","and",82,2021
"195",36,"Hamilton","be",82,2948
"196",73,"Hamilton","to",82,2346
"197",76,"Hamilton","to",82,1931
"198",2,"Jay","of",81,1665
"199",31,"Hamilton","to",81,1730
"200",41,"Madison","a",81,3540
"201",62,"Disputed","to",81,2382
"202",74,"Hamilton","of",81,1000
"203",7,"Hamilton","to",80,2255
"204",12,"Hamilton","to",80,2148
"205",22,"Hamilton","and",80,3477
"206",44,"Madison","to",80,2896
"207",6,"Hamilton","and",79,2131
"208",18,"Joint","and",79,2087
"209",20,"Joint","of",79,1518
"210",43,"Madison","and",79,3426
"211",60,"Hamilton","in",79,2239
"212",8,"Hamilton","to",78,1987
"213",10,"Madison","a",78,2999
"214",43,"Madison","be",78,3426
"215",36,"Hamilton","and",77,2948
"216",55,"Disputed","to",77,2043
"217",30,"Hamilton","to",75,1964
"218",62,"Disputed","a",75,2382
"219",68,"Hamilton","to",75,1505
"220",71,"Hamilton","to",75,1706
"221",15,"Hamilton","and",74,3066
"222",41,"Madison","be",74,3540
"223",39,"Madison","in",73,2606
"224",46,"Madison","and",73,2614
"225",57,"Disputed","to",73,2206
"226",5,"Jay","and",72,1337
"227",13,"Hamilton","the",72,960
"228",15,"Hamilton","in",72,3066
"229",46,"Madison","be",72,2614
"230",53,"Disputed","to",72,2164
"231",59,"Hamilton","to",72,1899
"232",14,"Madison","to",71,2150
"233",52,"Disputed","to",71,1840
"234",70,"Hamilton","a",71,3296
"235",77,"Hamilton","to",71,1976
"236",1,"Hamilton","to",70,1588
"237",4,"Jay","of",70,1636
"238",9,"Hamilton","to",70,1976
"239",11,"Hamilton","and",70,2494
"240",11,"Hamilton","a",69,2494
"241",15,"Hamilton","a",69,3066
"242",62,"Disputed","and",69,2382
"243",69,"Hamilton","in",69,2748
"244",36,"Hamilton","in",68,2948
"245",40,"Madison","in",68,3014
"246",63,"Disputed","and",68,3039
"247",63,"Disputed","in",68,3039
"248",66,"Hamilton","in",68,2221
"249",60,"Hamilton","be",67,2239
"250",11,"Hamilton","in",66,2494
"251",33,"Hamilton","to",66,1684
"252",44,"Madison","in",66,2896
"253",28,"Hamilton","to",65,1590
"254",35,"Hamilton","and",65,2251
"255",45,"Madison","to",65,2116
"256",54,"Disputed","in",65,1996
"257",65,"Hamilton","be",65,2016
"258",5,"Jay","the",64,1337
"259",21,"Hamilton","a",64,1993
"260",26,"Hamilton","in",64,2373
"261",39,"Madison","and",64,2606
"262",47,"Madison","to",64,2739
"263",77,"Hamilton","a",64,1976
"264",10,"Madison","in",63,2999
"265",40,"Madison","that",63,3014
"266",41,"Madison","in",63,3540
"267",45,"Madison","and",63,2116
"268",51,"Disputed","be",63,1914
"269",73,"Hamilton","a",63,2346
"270",12,"Hamilton","and",62,2148
"271",37,"Madison","in",62,2709
"272",38,"Madison","in",62,3319
"273",42,"Madison","in",62,2774
"274",47,"Madison","in",62,2739
"275",53,"Disputed","and",62,2164
"276",59,"Hamilton","in",62,1899
"277",69,"Hamilton","a",62,2748
"278",73,"Hamilton","in",62,2346
"279",10,"Madison","be",61,2999
"280",62,"Disputed","be",61,2382
"281",3,"Jay","and",60,1439
"282",3,"Jay","of",60,1439
"283",6,"Hamilton","in",60,2131
"284",14,"Madison","and",60,2150
"285",27,"Hamilton","to",60,1418
"286",47,"Madison","executive",60,2739
"287",54,"Disputed","to",60,1996
"288",58,"Disputed","to",60,2080
"289",61,"Hamilton","to",60,1516
"290",63,"Disputed","be",60,3039
"291",77,"Hamilton","in",60,1976
"292",6,"Hamilton","to",59,2131
"293",29,"Hamilton","and",59,2239
"294",50,"Disputed","of",58,1101
"295",58,"Disputed","in",58,2080
"296",63,"Disputed","a",58,3039
"297",76,"Hamilton","be",58,1931
"298",17,"Hamilton","to",57,1564
"299",19,"Joint","to",57,2021
"300",38,"Madison","is",57,3319
"301",39,"Madison","is",57,2606
"302",43,"Madison","it",57,3426
"303",49,"Disputed","to",57,1646
"304",64,"Jay","be",57,2306
"305",13,"Hamilton","of",56,960
"306",23,"Hamilton","and",56,1797
"307",37,"Madison","a",56,2709
"308",38,"Madison","that",56,3319
"309",3,"Jay","to",55,1439
"310",15,"Hamilton","which",55,3066
"311",16,"Hamilton","be",55,2037
"312",34,"Hamilton","in",55,2210
"313",40,"Madison","by",55,3014
"314",43,"Madison","in",55,3426
"315",70,"Hamilton","is",55,3296
"316",72,"Hamilton","a",55,2039
"317",12,"Hamilton","in",54,2148
"318",20,"Joint","and",54,1518
"319",21,"Hamilton","to",54,1993
"320",24,"Hamilton","and",54,1820
"321",26,"Hamilton","be",54,2373
"322",40,"Madison","be",54,3014
"323",44,"Madison","be",54,2896
"324",56,"Disputed","and",54,1637
"325",57,"Disputed","and",54,2206
"326",18,"Joint","to",53,2087
"327",22,"Hamilton","be",53,3477
"328",22,"Hamilton","that",53,3477
"329",26,"Hamilton","a",53,2373
"330",39,"Madison","a",53,2606
"331",40,"Madison","a",53,3014
"332",48,"Madison","to",53,1860
"333",60,"Hamilton","a",53,2239
"334",64,"Jay","in",53,2306
"335",2,"Jay","to",52,1665
"336",6,"Hamilton","a",52,2131
"337",8,"Hamilton","and",52,1987
"338",17,"Hamilton","and",52,1564
"339",25,"Hamilton","be",52,1982
"340",39,"Madison","be",52,2606
"341",41,"Madison","it",52,3540
"342",45,"Madison","be",52,2116
"343",55,"Disputed","be",52,2043
"344",58,"Disputed","be",52,2080
"345",72,"Hamilton","and",52,2039
"346",75,"Hamilton","a",52,1942
"347",5,"Jay","of",51,1337
"348",7,"Hamilton","would",51,2255
"349",38,"Madison","be",51,3319
"350",48,"Madison","and",51,1860
"351",53,"Disputed","be",51,2164
"352",58,"Disputed","a",51,2080
"353",63,"Disputed","by",51,3039
"354",65,"Hamilton","in",51,2016
"355",4,"Jay","to",50,1636
"356",11,"Hamilton","would",50,2494
"357",24,"Hamilton","be",50,1820
"358",24,"Hamilton","in",50,1820
"359",29,"Hamilton","a",50,2239
"360",29,"Hamilton","be",50,2239
"361",42,"Madison","a",50,2774
"362",43,"Madison","that",50,3426
"363",51,"Disputed","in",50,1914
"364",62,"Disputed","in",50,2382
"365",63,"Disputed","that",50,3039
"366",76,"Hamilton","in",50,1931
"367",7,"Hamilton","and",49,2255
"368",21,"Hamilton","and",49,1993
"369",26,"Hamilton","and",49,2373
"370",30,"Hamilton","be",49,1964
"371",30,"Hamilton","in",49,1964
"372",31,"Hamilton","in",49,1730
"373",38,"Madison","it",49,3319
"374",51,"Disputed","to",49,1914
"375",59,"Hamilton","a",49,1899
"376",69,"Hamilton","be",49,2748
"377",69,"Hamilton","is",49,2748
"378",73,"Hamilton","be",49,2346
"379",15,"Hamilton","is",48,3066
"380",21,"Hamilton","in",48,1993
"381",22,"Hamilton","is",48,3477
"382",34,"Hamilton","and",48,2210
"383",42,"Madison","be",48,2774
"384",53,"Disputed","a",48,2164
"385",55,"Disputed","a",48,2043
"386",55,"Disputed","and",48,2043
"387",56,"Disputed","a",48,1637
"388",66,"Hamilton","a",48,2221
"389",76,"Hamilton","a",48,1931
"390",76,"Hamilton","and",48,1931
"391",7,"Hamilton","a",47,2255
"392",9,"Hamilton","a",47,1976
"393",10,"Madison","it",47,2999
"394",12,"Hamilton","a",47,2148
"395",35,"Hamilton","in",47,2251
"396",37,"Madison","be",47,2709
"397",37,"Madison","that",47,2709
"398",43,"Madison","by",47,3426
"399",49,"Disputed","be",47,1646
"400",58,"Disputed","and",47,2080
"401",61,"Hamilton","in",47,1516
"402",7,"Hamilton","be",46,2255
"403",22,"Hamilton","it",46,3477
"404",24,"Hamilton","a",46,1820
"405",25,"Hamilton","and",46,1982
"406",32,"Hamilton","to",46,1483
"407",46,"Madison","in",46,2614
"408",48,"Madison","in",46,1860
"409",51,"Disputed","a",46,1914
"410",52,"Disputed","be",46,1840
"411",60,"Hamilton","that",46,2239
"412",64,"Jay","that",46,2306
"413",67,"Hamilton","and",46,1637
"414",9,"Hamilton","and",45,1976
"415",14,"Madison","be",45,2150
"416",23,"Hamilton","be",45,1797
"417",30,"Hamilton","and",45,1964
"418",34,"Hamilton","a",45,2210
"419",35,"Hamilton","a",45,2251
"420",35,"Hamilton","be",45,2251
"421",36,"Hamilton","a",45,2948
"422",43,"Madison","states",45,3426
"423",47,"Madison","legislative",45,2739
"424",53,"Disputed","in",45,2164
"425",71,"Hamilton","a",45,1706
"426",2,"Jay","that",44,1665
"427",5,"Jay","to",44,1337
"428",8,"Hamilton","a",44,1987
"429",11,"Hamilton","be",44,2494
"430",15,"Hamilton","be",44,3066
"431",25,"Hamilton","a",44,1982
"432",31,"Hamilton","and",44,1730
"433",33,"Hamilton","a",44,1684
"434",33,"Hamilton","and",44,1684
"435",36,"Hamilton","that",44,2948
"436",37,"Madison","which",44,2709
"437",39,"Madison","it",44,2606
"438",59,"Hamilton","be",44,1899
"439",65,"Hamilton","a",44,2016
"440",75,"Hamilton","in",44,1942
"441",26,"Hamilton","it",43,2373
"442",34,"Hamilton","that",43,2210
"443",44,"Madison","a",43,2896
"444",47,"Madison","is",43,2739
"445",57,"Disputed","be",43,2206
"446",73,"Hamilton","it",43,2346
"447",10,"Madison","is",42,2999
"448",13,"Hamilton","to",42,960
"449",16,"Hamilton","and",42,2037
"450",26,"Hamilton","that",42,2373
"451",29,"Hamilton","it",42,2239
"452",34,"Hamilton","be",42,2210
"453",41,"Madison","that",42,3540
"454",46,"Madison","a",42,2614
"455",47,"Madison","by",42,2739
"456",49,"Disputed","and",42,1646
"457",60,"Hamilton","it",42,2239
"458",70,"Hamilton","it",42,3296
"459",73,"Hamilton","and",42,2346
"460",18,"Joint","in",41,2087
"461",19,"Joint","in",41,2021
"462",20,"Joint","to",41,1518
"463",29,"Hamilton","in",41,2239
"464",32,"Hamilton","and",41,1483
"465",35,"Hamilton","is",41,2251
"466",56,"Disputed","to",41,1637
"467",63,"Disputed","people",41,3039
"468",66,"Hamilton","and",41,2221
"469",69,"Hamilton","that",41,2748
"470",72,"Hamilton","be",41,2039
"471",77,"Hamilton","and",41,1976
"472",1,"Hamilton","and",40,1588
"473",7,"Hamilton","in",40,2255
"474",14,"Madison","in",40,2150
"475",14,"Madison","which",40,2150
"476",21,"Hamilton","be",40,1993
"477",25,"Hamilton","in",40,1982
"478",28,"Hamilton","be",40,1590
"479",28,"Hamilton","in",40,1590
"480",32,"Hamilton","in",40,1483
"481",45,"Madison","in",40,2116
"482",46,"Madison","will",40,2614
"483",47,"Madison","department",40,2739
"484",51,"Disputed","and",40,1914
"485",54,"Disputed","be",40,1996
"486",57,"Disputed","in",40,2206
"487",63,"Disputed","it",40,3039
"488",68,"Hamilton","in",40,1505
"489",73,"Hamilton","that",40,2346
"490",8,"Hamilton","in",39,1987
"491",10,"Madison","by",39,2999
"492",10,"Madison","which",39,2999
"493",12,"Hamilton","be",39,2148
"494",16,"Hamilton","in",39,2037
"495",20,"Joint","in",39,1518
"496",33,"Hamilton","it",39,1684
"497",36,"Hamilton","it",39,2948
"498",42,"Madison","is",39,2774
"499",43,"Madison","as",39,3426
"500",46,"Madison","that",39,2614
"501",64,"Jay","as",39,2306
"502",66,"Hamilton","be",39,2221
"503",70,"Hamilton","be",39,3296
"504",70,"Hamilton","that",39,3296
"505",2,"Jay","it",38,1665
"506",15,"Hamilton","or",38,3066
"507",15,"Hamilton","that",38,3066
"508",30,"Hamilton","a",38,1964
"509",41,"Madison","is",38,3540
"510",54,"Disputed","and",38,1996
"511",56,"Disputed","be",38,1637
"512",71,"Hamilton","and",38,1706
"513",71,"Hamilton","be",38,1706
"514",77,"Hamilton","be",38,1976
"515",5,"Jay","would",37,1337
"516",9,"Hamilton","in",37,1976
"517",14,"Madison","a",37,2150
"518",16,"Hamilton","a",37,2037
"519",16,"Hamilton","it",37,2037
"520",18,"Joint","a",37,2087
"521",27,"Hamilton","that",37,1418
"522",35,"Hamilton","that",37,2251
"523",37,"Madison","it",37,2709
"524",38,"Madison","by",37,3319
"525",44,"Madison","or",37,2896
"526",52,"Disputed","and",37,1840
"527",57,"Disputed","a",37,2206
"528",58,"Disputed","will",37,2080
"529",61,"Hamilton","be",37,1516
"530",62,"Disputed","is",37,2382
"531",65,"Hamilton","and",37,2016
"532",71,"Hamilton","in",37,1706
"533",16,"Hamilton","would",36,2037
"534",22,"Hamilton","which",36,3477
"535",31,"Hamilton","be",36,1730
"536",32,"Hamilton","a",36,1483
"537",41,"Madison","which",36,3540
"538",47,"Madison","that",36,2739
"539",54,"Disputed","as",36,1996
"540",60,"Hamilton","and",36,2239
"541",63,"Disputed","is",36,3039
"542",63,"Disputed","which",36,3039
"543",67,"Hamilton","in",36,1637
"544",68,"Hamilton","be",36,1505
"545",75,"Hamilton","and",36,1942
"546",11,"Hamilton","our",35,2494
"547",28,"Hamilton","and",35,1590
"548",36,"Hamilton","as",35,2948
"549",36,"Hamilton","is",35,2948
"550",40,"Madison","it",35,3014
"551",40,"Madison","their",35,3014
"552",41,"Madison","for",35,3540
"553",47,"Madison","a",35,2739
"554",47,"Madison","be",35,2739
"555",48,"Madison","a",35,1860
"556",52,"Disputed","a",35,1840
"557",54,"Disputed","a",35,1996
"558",54,"Disputed","is",35,1996
"559",61,"Hamilton","a",35,1516
"560",62,"Disputed","that",35,2382
"561",66,"Hamilton","it",35,2221
"562",66,"Hamilton","that",35,2221
"563",72,"Hamilton","his",35,2039
"564",72,"Hamilton","in",35,2039
"565",74,"Hamilton","to",35,1000
"566",75,"Hamilton","that",35,1942
"567",1,"Hamilton","be",34,1588
"568",2,"Jay","in",34,1665
"569",43,"Madison","is",34,3426
"570",43,"Madison","which",34,3426
"571",49,"Disputed","in",34,1646
"572",57,"Disputed","is",34,2206
"573",59,"Hamilton","and",34,1899
"574",76,"Hamilton","that",34,1931
"575",14,"Madison","that",33,2150
"576",18,"Joint","by",33,2087
"577",27,"Hamilton","and",33,1418
"578",27,"Hamilton","be",33,1418
"579",28,"Hamilton","a",33,1590
"580",33,"Hamilton","in",33,1684
"581",39,"Madison","as",33,2606
"582",39,"Madison","by",33,2606
"583",39,"Madison","government",33,2606
"584",40,"Madison","as",33,3014
"585",41,"Madison","as",33,3540
"586",43,"Madison","on",33,3426
"587",44,"Madison","have",33,2896
"588",49,"Disputed","a",33,1646
"589",50,"Disputed","and",33,1101
"590",52,"Disputed","in",33,1840
"591",58,"Disputed","that",33,2080
"592",59,"Hamilton","it",33,1899
"593",65,"Hamilton","it",33,2016
"594",3,"Jay","or",32,1439
"595",8,"Hamilton","be",32,1987
"596",15,"Hamilton","by",32,3066
"597",27,"Hamilton","will",32,1418
"598",32,"Hamilton","that",32,1483
"599",33,"Hamilton","be",32,1684
"600",33,"Hamilton","that",32,1684
"601",36,"Hamilton","will",32,2948
"602",38,"Madison","not",32,3319
"603",40,"Madison","states",32,3014
"604",41,"Madison","by",32,3540
"605",42,"Madison","that",32,2774
"606",45,"Madison","will",32,2116
"607",46,"Madison","it",32,2614
"608",46,"Madison","on",32,2614
"609",51,"Disputed","it",32,1914
"610",52,"Disputed","it",32,1840
"611",55,"Disputed","that",32,2043
"612",56,"Disputed","in",32,1637
"613",61,"Hamilton","that",32,1516
"614",62,"Disputed","which",32,2382
"615",64,"Jay","a",32,2306
"616",64,"Jay","they",32,2306
"617",70,"Hamilton","have",32,3296
"618",77,"Hamilton","that",32,1976
"619",77,"Hamilton","would",32,1976
"620",3,"Jay","be",31,1439
"621",5,"Jay","be",31,1337
"622",7,"Hamilton","states",31,2255
"623",10,"Madison","that",31,2999
"624",14,"Madison","it",31,2150
"625",19,"Joint","which",31,2021
"626",23,"Hamilton","which",31,1797
"627",24,"Hamilton","that",31,1820
"628",25,"Hamilton","that",31,1982
"629",29,"Hamilton","is",31,2239
"630",30,"Hamilton","that",31,1964
"631",36,"Hamilton","which",31,2948
"632",40,"Madison","which",31,3014
"633",42,"Madison","by",31,2774
"634",42,"Madison","states",31,2774
"635",48,"Madison","be",31,1860
"636",50,"Disputed","be",31,1101
"637",53,"Disputed","by",31,2164
"638",57,"Disputed","that",31,2206
"639",62,"Disputed","it",31,2382
"640",70,"Hamilton","executive",31,3296
"641",2,"Jay","a",30,1665
"642",10,"Madison","will",30,2999
"643",15,"Hamilton","have",30,3066
"644",15,"Hamilton","it",30,3066
"645",17,"Hamilton","a",30,1564
"646",22,"Hamilton","by",30,3477
"647",22,"Hamilton","this",30,3477
"648",27,"Hamilton","a",30,1418
"649",29,"Hamilton","that",30,2239
"650",31,"Hamilton","that",30,1730
"651",32,"Hamilton","be",30,1483
"652",37,"Madison","by",30,2709
"653",37,"Madison","is",30,2709
"654",44,"Madison","which",30,2896
"655",45,"Madison","that",30,2116
"656",46,"Madison","state",30,2614
"657",52,"Disputed","that",30,1840
"658",55,"Disputed","in",30,2043
"659",57,"Disputed","which",30,2206
"660",63,"Disputed","as",30,3039
"661",64,"Jay","by",30,2306
"662",64,"Jay","it",30,2306
"663",68,"Hamilton","a",30,1505
"664",68,"Hamilton","and",30,1505
"665",69,"Hamilton","this",30,2748
"666",70,"Hamilton","they",30,3296
"667",70,"Hamilton","which",30,3296
"668",17,"Hamilton","in",29,1564
"669",30,"Hamilton","it",29,1964
"670",37,"Madison","as",29,2709
"671",38,"Madison","as",29,3319
"672",40,"Madison","is",29,3014
"673",42,"Madison","it",29,2774
"674",44,"Madison","states",29,2896
"675",44,"Madison","would",29,2896
"676",46,"Madison","their",29,2614
"677",46,"Madison","would",29,2614
"678",48,"Madison","is",29,1860
"679",55,"Disputed","which",29,2043
"680",56,"Disputed","will",29,1637
"681",59,"Hamilton","that",29,1899
"682",65,"Hamilton","will",29,2016
"683",71,"Hamilton","it",29,1706
"684",73,"Hamilton","would",29,2346
"685",77,"Hamilton","it",29,1976
"686",1,"Hamilton","that",28,1588
"687",4,"Jay","it",28,1636
"688",5,"Jay","in",28,1337
"689",7,"Hamilton","by",28,2255
"690",18,"Joint","was",28,2087
"691",20,"Joint","a",28,1518
"692",23,"Hamilton","that",28,1797
"693",27,"Hamilton","in",28,1418
"694",36,"Hamilton","have",28,2948
"695",36,"Hamilton","or",28,2948
"696",39,"Madison","that",28,2606
"697",40,"Madison","they",28,3014
"698",41,"Madison","power",28,3540
"699",41,"Madison","this",28,3540
"700",43,"Madison","for",28,3426
"701",44,"Madison","as",28,2896
"702",44,"Madison","by",28,2896
"703",44,"Madison","is",28,2896
"704",44,"Madison","on",28,2896
"705",44,"Madison","that",28,2896
"706",48,"Madison","by",28,1860
"707",48,"Madison","which",28,1860
"708",50,"Disputed","in",28,1101
"709",51,"Disputed","as",28,1914
"710",53,"Disputed","is",28,2164
"711",54,"Disputed","that",28,1996
"712",60,"Hamilton","is",28,2239
"713",60,"Hamilton","would",28,2239
"714",62,"Disputed","by",28,2382
"715",73,"Hamilton","is",28,2346
"716",75,"Hamilton","be",28,1942
"717",8,"Hamilton","would",27,1987
"718",10,"Madison","are",27,2999
"719",12,"Hamilton","that",27,2148
"720",19,"Joint","a",27,2021
"721",21,"Hamilton","is",27,1993
"722",31,"Hamilton","it",27,1730
"723",34,"Hamilton","which",27,2210
"724",39,"Madison","national",27,2606
"725",39,"Madison","which",27,2606
"726",41,"Madison","on",27,3540
"727",42,"Madison","which",27,2774
"728",46,"Madison","governments",27,2614
"729",46,"Madison","people",27,2614
"730",48,"Madison","that",27,1860
"731",50,"Disputed","to",27,1101
"732",54,"Disputed","it",27,1996
"733",58,"Disputed","which",27,2080
"734",66,"Hamilton","is",27,2221
"735",69,"Hamilton","it",27,2748
"736",69,"Hamilton","would",27,2748
"737",73,"Hamilton","by",27,2346
"738",74,"Hamilton","a",27,1000
"739",75,"Hamilton","it",27,1942
"740",75,"Hamilton","would",27,1942
"741",1,"Hamilton","in",26,1588
"742",4,"Jay","be",26,1636
"743",6,"Hamilton","have",26,2131
"744",7,"Hamilton","that",26,2255
"745",9,"Hamilton","be",26,1976
"746",12,"Hamilton","it",26,2148
"747",13,"Hamilton","a",26,960
"748",14,"Madison","will",26,2150
"749",18,"Joint","it",26,2087
"750",23,"Hamilton","in",26,1797
"751",25,"Hamilton","it",26,1982
"752",29,"Hamilton","as",26,2239
"753",29,"Hamilton","militia",26,2239
"754",33,"Hamilton","is",26,1684
"755",34,"Hamilton","for",26,2210
"756",35,"Hamilton","it",26,2251
"757",37,"Madison","have",26,2709
"758",38,"Madison","which",26,3319
"759",40,"Madison","convention",26,3014
"760",40,"Madison","have",26,3014
"761",41,"Madison","have",26,3540
"762",43,"Madison","not",26,3426
"763",46,"Madison","federal",26,2614
"764",47,"Madison","are",26,2739
"765",49,"Disputed","it",26,1646
"766",54,"Disputed","by",26,1996
"767",57,"Disputed","are",26,2206
"768",57,"Disputed","it",26,2206
